,incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,cad_number,report_type_code,report_type_description,filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,cnn,police_district,analysis_neighborhood,supervisor_district,latitude,longitude,point,daynum
51177,2018-08-26 19:26:00,2018-08-26 00:00:00,19:26,2018,Sunday,2018-08-26 19:26:00,71135519090,711355,189002535,189002535.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,LAKE MERCED BLVD \ FONT BLVD,33541000.0,Taraval,Lakeshore,7.0,37.72399972606433,-122.48507517930891,"(37.72399972606433, -122.4850751793089)",6
51229,2018-09-23 19:04:00,2018-09-23 00:00:00,19:04,2018,Sunday,2018-09-23 19:06:00,71791519090,717915,180722887,182663042.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,UNION ST \ CHARLTON CT,26582000.0,Northern,Marina,2.0,37.79760447473146,-122.4314375149297,"(37.79760447473146, -122.43143751492967)",6
53104,2018-09-28 21:53:00,2018-09-28 00:00:00,21:53,2018,Friday,2018-09-28 22:00:00,71989519090,719895,180737171,182713985.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,03RD ST \ KING ST,23799000.0,Southern,Mission Bay,6.0,37.77812569661714,-122.39184052639568,"(37.77812569661714, -122.39184052639568)",4
53416,2018-09-29 17:15:00,2018-09-29 00:00:00,17:15,2018,Saturday,2018-09-29 17:15:00,72017419090,720174,180739020,182722704.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,MASON ST \ BEACH ST,25485000.0,Central,North Beach,3.0,37.80748251193778,-122.41397500878729,"(37.80748251193778, -122.41397500878728)",5
53559,2018-09-30 02:15:00,2018-09-30 00:00:00,02:15,2018,Sunday,2018-09-30 02:23:00,72027719090,720277,180739995,182730336.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,ROMOLO ST \ BROADWAY,25319000.0,Central,North Beach,3.0,37.797920271693954,-122.40623139142588,"(37.797920271693954, -122.40623139142588)",6
54219,2018-10-01 20:50:00,2018-10-01 00:00:00,20:50,2018,Monday,2018-10-01 20:59:00,72084719090,720847,180744712,182743993.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,UNION ST \ BUCHANAN ST,26659000.0,Northern,Marina,2.0,37.79750694842185,-122.43220428969965,"(37.797506948421855, -122.43220428969965)",0
54544,2018-10-02 17:45:00,2018-10-02 00:00:00,17:45,2018,Tuesday,2018-10-02 17:45:00,72112119090,721121,180746887,182753193.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,24TH AVE \ CLEMENT ST,27544000.0,Richmond,Outer Richmond,1.0,37.782076637861074,-122.48380372857788,"(37.782076637861074, -122.48380372857787)",1
54628,2018-10-02 22:36:00,2018-10-02 00:00:00,22:36,2018,Tuesday,2018-10-02 22:40:00,72118819090,721188,180747493,182754147.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,MASON ST \ BEACH ST,25485000.0,Central,North Beach,3.0,37.80748251193778,-122.41397500878729,"(37.80748251193778, -122.41397500878728)",1
55761,2018-10-05 00:26:00,2018-10-05 00:00:00,00:26,2018,Friday,2018-10-05 00:33:00,72223419090,722234,180753490,182780074.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,EDDY ST \ LEAVENWORTH ST,24935000.0,Tenderloin,Tenderloin,6.0,37.78372378203807,-122.41424157409635,"(37.78372378203807, -122.41424157409635)",4
56017,2018-10-05 18:15:00,2018-10-05 00:00:00,18:15,2018,Friday,2018-10-05 18:15:00,72247719090,722477,160600792,182783335.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,BALBOA ST \ 42ND AVE,27907000.0,Richmond,Outer Richmond,1.0,37.77547056623485,-122.50267097146664,"(37.775470566234844, -122.50267097146663)",4
56113,2018-10-06 01:55:00,2018-10-06 00:00:00,01:55,2018,Saturday,2018-10-06 01:55:00,72255319090,722553,180756507,182790255.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,UNION ST \ BUCHANAN ST,26659000.0,Northern,Marina,2.0,37.79750694842185,-122.43220428969965,"(37.797506948421855, -122.43220428969965)",5
56361,2018-10-06 16:30:00,2018-10-06 00:00:00,16:30,2018,Saturday,2018-10-06 16:30:00,72277419090,722774,180757919,182792812.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,37.760888932091525,-122.43500070269909,"(37.76088893209152, -122.4350007026991)",5
56777,2018-10-07 19:30:00,2018-10-07 00:00:00,19:30,2018,Sunday,2018-10-07 19:37:00,72313319090,723133,180760815,182803658.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,SPEAR ST \ FOLSOM ST,23607000.0,Southern,Financial District/South Beach,6.0,37.79006979947905,-122.39097101886335,"(37.79006979947905, -122.39097101886335)",6
56785,2018-10-07 19:45:00,2018-10-07 00:00:00,19:45,2018,Sunday,2018-10-07 19:50:00,72313919090,723139,180760887,182803702.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,BEACH ST \ JONES ST,25595000.0,Central,North Beach,3.0,37.807072513011974,-122.41726063240938,"(37.80707251301197, -122.41726063240938)",6
57165,2018-10-07 19:30:00,2018-10-07 00:00:00,19:30,2018,Sunday,2018-10-07 19:37:00,72345919090,723459,180760815,182803658.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,SPEAR ST \ FOLSOM ST,23607000.0,Southern,Financial District/South Beach,6.0,37.79006979947905,-122.39097101886335,"(37.79006979947905, -122.39097101886335)",6
57741,2018-10-09 12:30:00,2018-10-09 00:00:00,12:30,2018,Tuesday,2018-10-09 14:15:00,72397719090,723977,180765677,182821818.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,MASON ST \ BEACH ST,25485000.0,Central,North Beach,3.0,37.80748251193778,-122.41397500878729,"(37.80748251193778, -122.41397500878728)",1
57837,2018-10-09 21:45:00,2018-10-09 00:00:00,21:45,2018,Tuesday,2018-10-09 21:48:00,72405619090,724056,180766926,182824078.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,FAIR AVE \ MISSION ST,21337000.0,Ingleside,Bernal Heights,9.0,37.74559509558596,-122.41988576485541,"(37.74559509558596, -122.41988576485541)",1
58625,2018-10-11 09:55:00,2018-10-11 00:00:00,09:55,2018,Thursday,2018-10-11 10:01:00,72474319090,724743,180770955,182841180.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,04TH ST \ BRANNAN ST,23827000.0,Southern,South of Market,6.0,37.7783268304671,-122.39653063923613,"(37.7783268304671, -122.39653063923612)",3
58762,2018-10-11 16:33:00,2018-10-11 00:00:00,16:33,2018,Thursday,2018-10-11 16:33:00,72486019090,724860,180772058,182842694.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,PACIFIC AVE \ MASON ST,25109000.0,Central,Chinatown,3.0,37.796290764675476,-122.4117189392694,"(37.796290764675476, -122.41171893926939)",3
58849,2018-10-11 23:21:00,2018-10-11 00:00:00,23:21,2018,Thursday,2018-10-11 23:25:00,72493019090,724930,180772876,182844152.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,POWELL ST \ POST ST,24918000.0,Central,Financial District/South Beach,3.0,37.788293192828824,-122.4084015519847,"(37.78829319282882, -122.40840155198468)",3
59667,2018-10-13 21:16:00,2018-10-13 00:00:00,21:16,2018,Saturday,2018-10-13 21:19:00,72566419090,725664,180778062,182863550.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,18TH ST \ CASTRO ST,25813000.0,Mission,Castro/Upper Market,8.0,37.760888932091525,-122.43500070269909,"(37.76088893209152, -122.4350007026991)",5
59974,2018-10-14 09:31:00,2018-10-14 00:00:00,09:31,2018,Sunday,2018-10-14 09:46:00,72596219090,725962,180779004,182871003.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,CHURCH ST \ MARKET ST,25881000.0,Mission,Castro/Upper Market,8.0,37.76750445867602,-122.42894856756236,"(37.76750445867602, -122.42894856756236)",6
61029,2018-10-19 20:55:00,2018-10-19 00:00:00,20:55,2018,Friday,2018-10-19 21:05:00,72792619090,727926,180795129,182923724.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,CAPITOL AVE \ SAGAMORE ST,22459000.0,Taraval,Oceanview/Merced/Ingleside,11.0,37.711387328933704,-122.45900546918051,"(37.7113873289337, -122.4590054691805)",4
61828,2018-10-21 19:41:00,2018-10-21 00:00:00,19:41,2018,Sunday,2018-10-21 19:41:00,72868319090,728683,180800176,182943193.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,STEINER ST \ CHESTNUT ST,26771000.0,Northern,Marina,2.0,37.80060874463821,-122.43788945697766,"(37.80060874463821, -122.43788945697766)",6
62297,2018-10-24 00:15:00,2018-10-24 00:00:00,00:15,2018,Wednesday,2018-10-24 00:26:00,72952819090,729528,180806312,182970066.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,VALLEJO ST \ TURK MURPHY LN,25354000.0,Central,Chinatown,3.0,37.7984422945084,-122.40987875494629,"(37.7984422945084, -122.40987875494628)",2
62684,2018-01-01 02:35:00,2018-01-01 00:00:00,02:35,2018,Monday,2018-01-01 02:40:00,61872119090,618721,180000439,180010671.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,17TH ST \ MISSION ST,24165000.0,Mission,Mission,9.0,37.763429272147256,-122.41951273794949,"(37.763429272147256, -122.41951273794947)",0
63020,2018-01-02 16:15:00,2018-01-02 00:00:00,16:15,2018,Tuesday,2018-01-02 16:18:00,61940619090,619406,180004469,180022805.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,CORTLAND AVE \ WOOL ST,21222000.0,Ingleside,Bernal Heights,9.0,37.739121436821975,-122.4171388199888,"(37.739121436821975, -122.41713881998882)",1
63878,2018-01-05 16:50:00,2018-01-05 00:00:00,16:50,2018,Friday,2018-01-05 16:50:00,62056319090,620563,180012898,180052745.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,STEINER ST \ OFARRELL ST,26595000.0,Northern,Western Addition,5.0,37.7830830171894,-122.43435039627951,"(37.7830830171894, -122.43435039627953)",4
64914,2018-01-08 21:00:00,2018-01-08 00:00:00,21:00,2018,Monday,2018-01-08 22:10:00,62173019090,621730,180021491,180083739.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,03RD ST \ DONNER AVE,20515000.0,Bayview,Bayview Hunters Point,10.0,37.72469313623249,-122.39453212224596,"(37.724693136232496, -122.39453212224596)",0
65173,2018-01-09 14:49:00,2018-01-09 00:00:00,14:49,2018,Tuesday,2018-01-09 15:00:00,62204419090,622044,180023209,180092384.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,HAROLD AVE \ OCEAN AVE,22217000.0,Taraval,West of Twin Peaks,7.0,37.723244035664656,-122.4531071989789,"(37.72324403566466, -122.4531071989789)",1
66006,2018-01-11 19:58:00,2018-01-11 00:00:00,19:58,2018,Thursday,2018-01-11 19:58:00,62292819090,622928,180030210,180113752.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,03RD AVE \ GEARY BLVD,27245000.0,Richmond,Inner Richmond,1.0,37.78116026065111,-122.46106282968252,"(37.781160260651106, -122.46106282968253)",3
66046,2018-01-11 18:10:00,2018-01-11 00:00:00,18:10,2018,Thursday,2018-01-11 18:19:00,62296219090,622962,180030163,180113378.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,WILLOW ST \ LARKIN ST,25150000.0,Tenderloin,Tenderloin,6.0,37.78377752229813,-122.41761857247508,"(37.783777522298124, -122.41761857247508)",3
66083,2018-01-12 00:30:00,2018-01-12 00:00:00,00:30,2018,Friday,2018-01-12 00:37:00,62299819090,622998,180030715,180120056.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,46TH AVE \ LINCOLN WAY,27955000.0,Taraval,Sunset/Parkside,4.0,37.76416613269253,-122.50619149517162,"(37.76416613269253, -122.50619149517162)",4
66419,2018-01-12 21:51:00,2018-01-12 00:00:00,21:51,2018,Friday,2018-01-12 21:55:00,62330619090,623306,180033060,180123993.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,VIA BUFANO \ COLUMBUS AVE \ FILBERT ST,30710000.0,Central,Chinatown,3.0,37.80112513149268,-122.41137627177315,"(37.801125131492675, -122.41137627177315)",4
66676,2018-01-13 00:00:00,2018-01-13 00:00:00,00:00,2018,Saturday,2018-01-13 20:45:00,62356619090,623566,180035458,180133497.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,FOLSOM ST \ LANGTON ST,24274000.0,Southern,South of Market,6.0,37.776318387282295,-122.40838011465424,"(37.7763183872823, -122.40838011465424)",5
66710,2018-01-13 21:24:00,2018-01-13 00:00:00,21:24,2018,Saturday,2018-01-13 21:47:00,62359019090,623590,180035492,180133618.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,RUSSIA AVE \ ATHENS ST,21634000.0,Ingleside,Excelsior,11.0,37.71853019955997,-122.43077802544407,"(37.71853019955997, -122.43077802544407)",5
66735,2018-01-14 01:36:00,2018-01-14 00:00:00,01:36,2018,Sunday,2018-01-14 01:36:00,62360919090,623609,180035812,180140223.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,JESSIE ST \ MINT PLZ \ MINT ST,24866000.0,Tenderloin,South of Market,6.0,37.78261211006559,-122.40769634542265,"(37.78261211006559, -122.40769634542264)",6
67798,2018-01-17 01:10:00,2018-01-17 00:00:00,01:10,2018,Wednesday,2018-01-17 01:10:00,62457319090,624573,180042920,180170137.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,CALIFORNIA ST \ 11TH AVE,27610000.0,Richmond,Inner Richmond,1.0,37.78457278004228,-122.46990785850511,"(37.78457278004228, -122.46990785850512)",2
68988,2018-01-19 18:50:00,2018-01-19 00:00:00,18:50,2018,Friday,2018-01-19 19:00:00,62577319090,625773,180050672,180193321.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,17TH ST \ FOLSOM ST,24134000.0,Mission,Mission,9.0,37.76369676554588,-122.41515508692206,"(37.76369676554588, -122.41515508692204)",4
69047,2018-01-19 22:35:00,2018-01-19 00:00:00,22:35,2018,Friday,2018-01-19 22:35:00,62583019090,625830,180051103,180194091.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,CLARA ST \ 06TH ST,23922000.0,Southern,South of Market,6.0,37.77769965850785,-122.4046055071112,"(37.777699658507856, -122.40460550711119)",4
69368,2018-01-20 23:41:00,2018-01-20 00:00:00,23:41,2018,Saturday,2018-01-20 23:43:00,62612619090,626126,180053579,180203795.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,16TH ST \ CAPP ST,24168000.0,Mission,Mission,9.0,37.76510995411557,-122.41869842699697,"(37.76510995411557, -122.41869842699698)",5
70947,2018-01-24 15:02:00,2018-01-24 00:00:00,15:02,2018,Wednesday,2018-01-24 15:04:00,62763719090,627637,180063885,180242513.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,ULLOA ST \ WEST PORTAL AVE,22928000.0,Taraval,West of Twin Peaks,7.0,37.740891974182375,-122.46582902531254,"(37.740891974182375, -122.46582902531254)",2
72470,2018-01-27 21:44:00,2018-01-27 00:00:00,21:44,2018,Saturday,2018-01-27 21:44:00,62909419090,629094,180073323,180273783.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,STOCKTON ST \ CAMPTON PL,24907000.0,Central,Financial District/South Beach,3.0,37.788986292481376,-122.40686503276359,"(37.788986292481376, -122.40686503276359)",5
74354,2018-02-01 15:25:00,2018-02-01 00:00:00,15:25,2018,Thursday,2018-02-01 15:40:00,63083019090,630830,180086235,180322576.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,COLUMBUS AVE \ LEAVENWORTH ST,25576000.0,Central,North Beach,3.0,37.80624124805435,-122.41878185632008,"(37.80624124805435, -122.41878185632008)",3
75225,2018-02-03 19:34:00,2018-02-03 00:00:00,19:34,2018,Saturday,2018-02-03 19:46:00,63161419090,631614,180092389,180343341.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,05TH ST \ CLEMENTINA ST,23939000.0,Southern,South of Market,6.0,37.780699048573226,-122.40392088280285,"(37.780699048573226, -122.40392088280285)",5
75998,2018-02-05 17:03:00,2018-02-05 00:00:00,17:03,2018,Monday,2018-02-05 17:06:00,63232819090,632328,160839690,180362881.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,22ND ST \ MISSION ST,24111000.0,Mission,Mission,9.0,37.75543693568604,-122.41874757531653,"(37.75543693568604, -122.41874757531652)",0
76220,2018-02-06 02:50:00,2018-02-06 00:00:00,02:50,2018,Tuesday,2018-02-06 14:53:00,63254719090,632547,180099250,180372451.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,16TH ST \ BRYANT ST,24048000.0,Mission,Mission,10.0,37.76560583760297,-122.41048669029504,"(37.76560583760297, -122.41048669029503)",1
76235,2018-02-06 12:10:00,2018-02-06 00:00:00,12:10,2018,Tuesday,2018-02-06 12:10:00,63256119090,632561,180098666,180371783.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,GODEUS ST \ MISSION ST,21330000.0,Ingleside,Bernal Heights,9.0,37.74282117323275,-122.42168044914007,"(37.74282117323275, -122.42168044914007)",1
76821,2018-02-07 18:49:00,2018-02-07 00:00:00,18:49,2018,Wednesday,2018-02-07 19:26:00,63306419090,633064,180103362,180383396.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,EDDY ST \ CYRIL MAGNIN ST,24893000.0,Tenderloin,Tenderloin,6.0,37.78445272883687,-122.40849315881205,"(37.78445272883687, -122.40849315881205)",2
77891,2018-02-10 10:42:00,2018-02-10 00:00:00,10:42,2018,Saturday,2018-02-10 10:42:00,63401419090,634014,170351377,180411283.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,NORTH POINT ST \ POWELL ST,25480000.0,Central,North Beach,3.0,37.80675808244208,-122.4121414255319,"(37.80675808244208, -122.4121414255319)",5
78336,2018-02-11 12:18:00,2018-02-11 00:00:00,12:18,2018,Sunday,2018-02-11 12:18:00,63441219090,634412,180112727,180420974.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,26TH ST \ CYPRESS ST,24067000.0,Mission,Mission,9.0,37.749138338563455,-122.416518515947,"(37.74913833856345, -122.416518515947)",6
79664,2018-02-14 19:45:00,2018-02-14 00:00:00,19:45,2018,Wednesday,2018-02-14 19:50:00,63562319090,635623,180121574,180453746.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,FRESNO ST \ GRANT AVE,25331000.0,Central,North Beach,3.0,37.79848980264107,-122.40714883800163,"(37.79848980264107, -122.40714883800165)",2
80860,2018-02-17 14:00:00,2018-02-17 00:00:00,14:00,2018,Saturday,2018-02-17 19:18:00,63677919090,636779,180129584,180482995.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,MASON ST \ BEACH ST,25485000.0,Central,North Beach,3.0,37.80748251193778,-122.41397500878729,"(37.80748251193778, -122.41397500878728)",5
80907,2018-02-17 21:32:00,2018-02-17 00:00:00,21:32,2018,Saturday,2018-02-17 21:34:00,63681719090,636817,180129788,180483377.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,INGALLS ST \ OAKDALE AVE,20131000.0,Bayview,Bayview Hunters Point,10.0,37.730341970705894,-122.38288787273962,"(37.73034197070589, -122.38288787273962)",5
80928,2018-02-18 00:22:00,2018-02-18 00:00:00,00:22,2018,Sunday,2018-02-18 00:22:00,63683619090,636836,180130111,180490071.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,EDDY ST \ LEAVENWORTH ST,24935000.0,Tenderloin,Tenderloin,6.0,37.78372378203807,-122.41424157409635,"(37.78372378203807, -122.41424157409635)",6
81307,2018-02-19 00:59:00,2018-02-19 00:00:00,00:59,2018,Monday,2018-02-19 01:21:00,63718719090,637187,180132656,180500139.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,GEARY ST \ POLK ST,25182000.0,Northern,Tenderloin,6.0,37.785892900131,-122.41973873477664,"(37.78589290013101, -122.41973873477666)",0
81506,2018-02-19 10:46:00,2018-02-19 00:00:00,10:46,2018,Monday,2018-02-19 10:54:00,63737719090,637377,180133137,180501258.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,31ST AVE \ NORIEGA ST,27676000.0,Taraval,Sunset/Parkside,4.0,37.753674192334536,-122.4893237116642,"(37.75367419233453, -122.48932371166421)",0
81718,2018-02-20 00:00:00,2018-02-20 00:00:00,00:00,2018,Tuesday,2018-02-20 00:05:00,63753919090,637539,180135149,180510003.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,30TH AVE \ SANTIAGO ST,23284000.0,Taraval,Sunset/Parkside,4.0,37.744398634901046,-122.4876065306177,"(37.744398634901046, -122.48760653061768)",1
83475,2018-02-23 22:24:00,2018-02-23 00:00:00,22:24,2018,Friday,2018-02-23 22:27:00,63908719090,639087,180145994,180543923.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,ELLIS ST \ MASON ST,24900000.0,Tenderloin,Tenderloin,3.0,37.78528291631406,-122.40949752694893,"(37.78528291631406, -122.40949752694894)",4
85573,2018-02-28 22:59:00,2018-02-28 00:00:00,22:59,2018,Wednesday,2018-02-28 22:59:00,64095719090,640957,180159484,180594244.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,HAYES ST \ POLK ST,24436000.0,Northern,Tenderloin,6.0,37.777511710206454,-122.41804316781624,"(37.77751171020645, -122.41804316781624)",2
86036,2018-03-01 22:31:00,2018-03-01 00:00:00,22:31,2018,Thursday,2018-03-01 22:31:00,64138619090,641386,180162330,180604013.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,SYCAMORE ST \ MISSION ST,24163000.0,Mission,Mission,9.0,37.762712865808865,-122.41944373685448,"(37.76271286580887, -122.41944373685448)",3
86365,2018-03-02 20:12:00,2018-03-02 00:00:00,20:12,2018,Friday,2018-03-02 20:12:00,64165619090,641656,180164693,180613416.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,MCALLISTER ST \ MARKET ST,30740000.0,Tenderloin,Tenderloin,6.0,37.78117721773047,-122.41169993118794,"(37.78117721773047, -122.41169993118794)",4
86438,2018-03-03 02:30:00,2018-03-03 00:00:00,02:30,2018,Saturday,2018-03-03 02:38:00,64171519090,641715,180165146,180620313.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,11TH ST \ HARRISON ST,24229000.0,Southern,Mission,6.0,37.770629853050906,-122.41247993630192,"(37.770629853050906, -122.41247993630192)",5
87198,2018-03-04 20:25:00,2018-03-04 00:00:00,20:25,2018,Sunday,2018-03-04 20:29:00,64239419090,642394,180169728,180633213.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,ALBION ST \ 16TH ST,25695000.0,Mission,Mission,8.0,37.76485894922524,-122.42285341516848,"(37.764858949225236, -122.42285341516849)",6
87541,2018-03-05 19:15:00,2018-03-05 00:00:00,19:15,2018,Monday,2018-03-05 19:22:00,64271119090,642711,180172470,180643445.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,ALEMANY BLVD \ ROUSSEAU ST,21705000.0,Ingleside,Outer Mission,11.0,37.73103988744256,-122.42957069966148,"(37.731039887442556, -122.42957069966147)",0
87591,2018-03-05 17:03:00,2018-03-05 00:00:00,17:03,2018,Monday,2018-03-05 17:33:00,64275019090,642750,180172204,180642989.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,BRYANT ST \ CONVERSE ST,24200000.0,Southern,South of Market,6.0,37.772104391678745,-122.40750194432596,"(37.77210439167875, -122.40750194432596)",0
